국명,과명,과국명,학명
양다래,Actinidiaceae,다래나무과,Actinidia chinensis Planch. var. deliciosa (A.Chev.) A.Chev.
양덕사초,Cyperaceae,사초과,Carex stipata Muhl. ex Willd.
양마,Malvaceae,아욱과,Hibiscus cannabinus L.
양머리복주머니란,Orchidaceae,난초과,Cypripedium agnicapitatum Y.N.Lee
양명아주,Chenopodiaceae,명아주과,Dysphania ambrosioides (L.) Mosyakin & Clemants
양모양지꽃,Rosaceae,장미과,Potentilla megalantha Takeda
양미역취,Asteraceae,국화과,Solidago altissima L.
양반풀,Apocynaceae,협죽도과,Cynanchum thesioides (Freyn) K.Schum.
양배추,Brassicaceae,배추과,Brassica oleracea var. capitata L.
양버들,Salicaceae,버드나무과,Populus nigra L.
양버즘나무,Platanaceae,버즘나무과,Platanus occidentalis L.
양벚나무,Rosaceae,장미과,Prunus avium L.
양벚나무 '비가로 나폴레옹',Rosaceae,장미과,Prunus avium 'Bigarreau Napoleon'
양뿔사초,Cyperaceae,사초과,Carex capricornis Meinsh. ex Maxim.
양장구채,Caryophyllaceae,석죽과,Silene gallica L.
양재금방망이,Asteraceae,국화과,Senecio scandens Buch.-Ham. ex D. Don
양지꽃,Rosaceae,장미과,Potentilla fragarioides L. var. major Maxim.
양지꽃 '아크엔실',Rosaceae,장미과,Potentilla 'Arc-En-Ciel'
양지꽃 '윌리엄 롤리슨',Rosaceae,장미과,Potentilla 'William Rollisson'
양지꽃 '헬렌 제인',Rosaceae,장미과,Potentilla 'Helen Jane'
양지사초,Cyperaceae,사초과,Carex nervata Franch. & Sav.
양파,Liliaceae,백합과,Allium cepa L.
양하,Zingiberaceae,생강과,Zingiber mioga (Thunb.) Roscoe
어기선인장,Cactaceae,선인장과,Echinocactus dasyacanthus Engelm.
어른지기,Cyperaceae,사초과,Fimbristylis complanata (Retz.) Link f. exaltata T.Koyama
어리곤달비,Asteraceae,국화과,Ligularia intermedia Nakai
어리병풍,Asteraceae,국화과,Parasenecio pseudotaimingasa (Nakai) B.U.Oh
어리연꽃,Menyanthaceae,조름나물과,Nymphoides indica (L.) Kuntze
어메이꽃돌부채,Saxifragaceae,범의귀과,Bergenia emeiensis C.Y.Wu ex J.T.Pan
어수리,Apiaceae,산형과,Heracleum moellendorffii Hance
어수리아재비,Apiaceae,산형과,Tordylium maximum L.
어저귀,Malvaceae,아욱과,Abutilon theophrasti Medik.
어항마름,Cabombaceae,어항마름과,Cabomba caroliniana A.Gray
억새,Poaceae,벼과,Miscanthus sinensis Andersson var. purpurascens (Andersson) Matsum.
억새 '푸르푸라스켄스',Poaceae,벼과,Miscanthus 'Purpurascens'
억새아재비,Poaceae,벼과,Miscanthus × longiberbis (Hack.) Nakai
언덕사초,Cyperaceae,사초과,Carex oxyandra (Franch. & Sav.) Kudô
얼레지,Liliaceae,백합과,Erythronium japonicum Decne.
얼룩닭의장풀,Commelinaceae,닭의장풀과,Tradescantia fluminensis Vell.
얼룩사초,Cyperaceae,사초과,Carex misandra R.Br.
얼룩애크메아,Bromeliaceae,파인애플과,Aechmea fasciata (Lindl.) Baker
얼룩억새,Poaceae,벼과,Miscanthus sinensis Andersson f. variegatus Nakai
얼룩자주달개비,Commelinaceae,닭의장풀과,Tradescantia zebrina hort. ex Bosse
얼룩자주달개비 ‘푸르푸시’,Commelinaceae,닭의장풀과,Tradescantia zebrina 'Purpusii'
얼치기대가래,Potamogetonaceae,가래과,Potamogeton × anguillanus Koidz.
얼치기복주머니란,Orchidaceae,난초과,Cypripedium × ventricosum Sw.
얼치기완두,Fabaceae,콩과,Vicia tetrasperma (L.) Schreb.
엉겅퀴,Asteraceae,국화과,Cirsium japonicum Fisch. ex DC. var. maackii (Maxim.) Matsum.
엉성겨이삭,Poaceae,벼과,Agrostis divaricatissima Mez
에게리아 덴사,Hydrocharitaceae,자라풀과,Egeria densa Planch.
에델바이스,Asteraceae,국화과,Leontopodium alpinum Cass.
에둘리스잣나무,Pinaceae,소나무과,Pinus cembroides subsp. edulis (Engelm.) A.E.Murray
에드라이안투스 달마티쿠스,Campanulaceae,초롱꽃과,Edraianthus dalmaticus (A.DC.) A.DC.
에드라이안투스 테누이폴리우스,Campanulaceae,초롱꽃과,Edraianthus tenuifolius (A.DC.) A.DC.
에디새동백나무,Theaceae,차나무과,Camellia edithae Hance
에레무루스 로부스투스,Liliaceae,백합과,Eremurus robustus (Regel) Regel
에레무루스 붕게이,Liliaceae,백합과,Eremurus bungei Baker
에레무루스 스테노필루스,Liliaceae,백합과,Eremurus stenophyllus (Boiss. & Buhse) Baker
에레무루스 이사벨리누스 '에르포 하이브리즈',Liliaceae,백합과,Eremurus × isabellinus 'Erfo Hybrids'
에레무루스 히말라이쿠스,Liliaceae,백합과,Eremurus himalaicus Baker
에루베스켄스필로덴드론,Araceae,천남성과,Philodendron erubescens K.Koch & Augustin
에리게론 '로사 주엘',Asteraceae,국화과,Erigeron 'Rosa Juwel'
에리게론 '프로스페리티',Asteraceae,국화과,Erigeron 'Prosperity'
에리게론 레이오메루스,Asteraceae,국화과,Erigeron leiomerus A.Gray
에리게론 바구스,Asteraceae,국화과,Erigeron vagus Payson
에리게론 보레알리스,Asteraceae,국화과,Erigeron borealis (Vierh.) Simmons
에리게론 아우레우스,Asteraceae,국화과,Erigeron aureus Greene
에리게론 알피누스,Asteraceae,국화과,Erigeron alpinus L.
에리게론 오크롤레우쿠스,Asteraceae,국화과,Erigeron ochroleucus Nutt.
에리게론 오크롤레우쿠스 스크리브네리,Asteraceae,국화과,Erigeron ochroleucus var. scribneri (M.L.Canby ex Rydb.) Cronquist
에리게론 콤포시투스,Asteraceae,국화과,Erigeron compositus Pursh
에리게론 트리피두스,Asteraceae,국화과,Erigeron trifidus Hook.
에리게론 후밀리스,Asteraceae,국화과,Erigeron humilis Graham
에리시뭄 히브리둠,Brassicaceae,배추과,Erysimum hybridum Grauer
에리안투스 라베나이,Poaceae,벼과,Erianthus ravennae (L.) P.Beauv.
에리안투스 콘토르투스,Poaceae,벼과,Erianthus contortus Baldwin ex Elliott
에리오고눔 움벨라툼,Polygonaceae,마디풀과,Eriogonum umbellatum Torr.
에리오고눔 카이스피토숨,Polygonaceae,마디풀과,Eriogonum caespitosum Nutt.
에리오필룸 라나툼,Asteraceae,국화과,Eriophyllum lanatum (Pursh) J.Forbes
에리카 다를레이엔시스 '고스트 힐스',Ericaceae,진달래과,Erica × darleyensis 'Ghost Hills'
에리카 다를레이엔시스 '아서 존슨',Ericaceae,진달래과,Erica × darleyensis 'Arthur Johnson'
에리카 다를레이엔시스 '제니 포터',Ericaceae,진달래과,Erica × darleyensis 'Jenny Porter'
에리카 다를레이엔시스 '크레이머스 로우트',Ericaceae,진달래과,Erica × darleyensis 'Kramer'S Rote'
에리카 다를레이엔시스 '퍼지',Ericaceae,진달래과,Erica × darleyensis 'Furzey'
에리카 다를레이엔시스 아우레이폴리아 '메리 헬렌',Ericaceae,진달래과,Erica × darleyensis f. aureifolia 'Mary Helen'
에리카 다를레이엔시스 알비플로라 '실버슈멜츠',Ericaceae,진달래과,Erica × darleyensis f. albiflora 'Silberschmelze'
에리카 루시타니카,Ericaceae,진달래과,Erica lusitanica Rudolphi
에리카 바간스,Ericaceae,진달래과,Erica vagans L.
에리카 바간스 '미세스 디 에프 맥스웰',Ericaceae,진달래과,Erica vagans 'Mrs D. F. Maxwell'
에리카 스코파리아,Ericaceae,진달래과,Erica scoparia L.
에리카 아르보레아,Ericaceae,진달래과,Erica arborea L.
에리카 아르보레아 알피나,Ericaceae,진달래과,Erica arborea var. alpina Dieck
에리카 에리게나,Ericaceae,진달래과,Erica erigena R.Ross
에리카 에리게나 '루브라',Ericaceae,진달래과,Erica erigena 'Rubra'
에리카 에리게나 '브라이트니스',Ericaceae,진달래과,Erica erigena 'Brightness'
에리카 에리게나 '슈퍼바',Ericaceae,진달래과,Erica erigena 'Superba'
에리카 에리게나 아우레이폴리아 '골든 레이디',Ericaceae,진달래과,Erica erigena f. aureifolia 'Golden Lady'
에리카 와초니,Ericaceae,진달래과,Erica × watsonii Benth.
에리카 움벨라타,Ericaceae,진달래과,Erica umbellata L.
에리카 카날리쿨라타,Ericaceae,진달래과,Erica canaliculata Andrews
에리카 카르네아 '비벨리',Ericaceae,진달래과,Erica carnea 'Vivellii'
에리카 카르네아 '스프링우드 화이트',Ericaceae,진달래과,Erica carnea 'Springwood White'
에리카 카르네아 '윈터 뷰티',Ericaceae,진달래과,Erica carnea 'Winter Beauty'
에리카 카르네아 '핑크 스팽글스',Ericaceae,진달래과,Erica carnea 'Pink Spangles'
에리카 카르네아 알바 '골든 스탈렛,Ericaceae,진달래과,Erica carnea f. alba 'Golden Starlet'
에리카 카르네아 알바 '세실리아 엠 빌',Ericaceae,진달래과,Erica carnea f. alba 'Cecilia M. Beale'
에리카 키네레아,Ericaceae,진달래과,Erica cinerea L.
에리카 킬리아리스,Ericaceae,진달래과,Erica ciliaris L.
에리카 테르미날리스,Ericaceae,진달래과,Erica terminalis Salisb.
에리카 테트랄릭스,Ericaceae,진달래과,Erica tetralix L.
에리트로코리스유카리,Myrtaceae,도금양과,Eucalyptus erythrocorys F.Muell.
에리트리나 카프라,Fabaceae,콩과,Erythrina caffra Thunb.
에리트리나 헤르바케아,Fabaceae,콩과,Erythrina herbacea L.
에린기움 바리폴리움,Apiaceae,산형과,Eryngium variifolium Coss.
에린기움 알피눔,Apiaceae,산형과,Eryngium alpinum L.
에린기움 알피눔 '블루 스타',Apiaceae,산형과,Eryngium alpinum 'Blue Star'
에린기움 알피눔 '블루 재킷',Apiaceae,산형과,Eryngium alpinum 'Blue Jacket'
에린기움 알피눔 '수퍼범',Apiaceae,산형과,Eryngium alpinum 'Superbum'
에린기움 트리파르티툼,Apiaceae,산형과,Eryngium × tripartitum Desf.
에린기움 팔마툼,Apiaceae,산형과,Eryngium palmatum Pančić & Vis.
에린기움 플라눔,Apiaceae,산형과,Eryngium planum L.
에린기움 플라눔 '헬라',Apiaceae,산형과,Eryngium planum 'Hellas'
에린기움 플라눔 ‘블루 캅’,Apiaceae,산형과,Eryngium planum 'Blue Cap'
에메놉테리스 헨리,Rubiaceae,꼭두서니과,Emmenopterys henryi Oliv.
에빙보리장나무 '길트 에지',Elaeagnaceae,보리수나무과,Elaeagnus × ebbingei 'Gilt Edge'
에빙보리장나무 '라임라이트',Elaeagnaceae,보리수나무과,Elaeagnus × ebbingei 'Limelight'
에서벌레잡이제비꽃,Lentibulariaceae,통발과,Pinguicula esseriana B.Kirchn.
에세뚜마가목,Rosaceae,장미과,Sorbus esserteauiana Koehne
에세뚜마가목 '플라바',Rosaceae,장미과,Sorbus esserteauiana 'Flava'
에스메랄다끈끈이주걱,Droseraceae,끈끈이귀개과,Drosera esmeraldae (Steyerm.) Maguire & Wurdack
에스칼로니아 '레드 헤저',Convolvulaceae,메꽃과,Escallonia 'Red Hedger'
에스칼로니아 '슬리브 도너드',Convolvulaceae,메꽃과,Escallonia 'Slieve Donard'
에스칼로니아 마크란타,Convolvulaceae,메꽃과,Escallonia macrantha Hook. & Arn.
에스칼로니아 엑소니엔시스 '프라데시',Convolvulaceae,메꽃과,Escallonia × exoniensis 'Fradesii'
에스쿨렌타원추리,Liliaceae,백합과,Hemerocallis esculenta Koidz.
에웁텔레아 폴리안드라,Eupteleaceae,에웁텔레아과,Euptelea polyandra Siebold & Zucc.
에케베리아 데렌베르기,Crassulaceae,돌나물과,Echeveria derenbergii J.A.Purpus
에케베리아 라우이,Crassulaceae,돌나물과,Echeveria laui Moran & J.Meyran
에케베리아 엘레강스,Crassulaceae,돌나물과,Echeveria elegans Rose
에케베리아 칸테,Crassulaceae,돌나물과,Echeveria cante Glass & Mend.-Garc.
에케베리아 푸르푸소룸,Crassulaceae,돌나물과,Echeveria purpusorum (Rose) A.Berger
에케베리아 풀비나타,Crassulaceae,돌나물과,Echeveria pulvinata Rose
에케베리아 하름시,Crassulaceae,돌나물과,Echeveria harmsii J.F.Macbr.
에퀴녹스비비추,Liliaceae,백합과,Hosta aequinoctiiantha Koidzumi ex Araki.
에크레모카르푸스 스카베르,Bignoniaceae,능소화과,Eccremocarpus scaber Ruiz & Pav.
에키나시아 '더블데커',Asteraceae,국화과,Echinacea purpurea 'Doubledecker'
에키나시아 '라즈마타즈',Asteraceae,국화과,Echinacea purpurea 'Razzmatazz'
에키나시아 '루비 자이언트',Asteraceae,국화과,Echinacea purpurea 'Ruby Giant'
에키나시아 '루빈글로우',Asteraceae,국화과,Echinacea purpurea 'Rubinglow'
에키나시아 '루빈스턴',Asteraceae,국화과,Echinacea purpurea 'Rubinstern'
에키나시아 '마그누스',Asteraceae,국화과,Echinacea purpurea 'Magnus'
에키나시아 '빈티지 와인',Asteraceae,국화과,Echinacea purpurea 'Vintage Wine'
에키나시아 '선라이즈',Asteraceae,국화과,Echinacea 'Sunrise'
에키나시아 '선셋',Asteraceae,국화과,Echinacea 'Sunset'
에키나시아 '시비지 콘 2',Asteraceae,국화과,Echinacea 'CBG Cone2'
에키나시아 '킴스 니 하이',Asteraceae,국화과,Echinacea purpurea 'Kim's Knee High'
에키나시아 '킴스 몹 헤드',Asteraceae,국화과,Echinacea purpurea 'Kim's Mop Head'
에키나시아 '트와일라이트',Asteraceae,국화과,Echinacea 'Twilight'
에키나시아 '파이카 벨라',Asteraceae,국화과,Echinacea purpurea 'Pica Bella'
에키나시아 '화이트 러스터',Asteraceae,국화과,Echinacea purpurea 'White Lustre'
에키나시아 '화이트 스완',Asteraceae,국화과,Echinacea purpurea 'White Swan'
에키나시아 시뮬라타,Asteraceae,국화과,Echinacea simulata McGregor
에키움 루시쿰,Boraginaceae,지치과,Echium russicum Roem. & Schult.
에키움 불가레,Boraginaceae,지치과,Echium vulgare L.
에키움 플란타기네움 '무디 블루스',Boraginaceae,지치과,Echium plantagineum 'Moody Blues'
엑사쿰 아피네,Gentianaceae,용담과,Exacum affine Balf.f. ex Regel
엑살타투스절굿대,Asteraceae,국화과,Echinops exaltatus Schrad.
엑시미아금낭화,Papaveraceae,양귀비과,Dicentra eximia (Ker Gawl.) Torr.
엘라이이스 귀네엔시스,Arecaceae,야자나무과,Elaeis guineensis Jacq.
엘라타비비추,Liliaceae,백합과,Hosta elata Hyl.
엘라티오르베고니아,Begoniaceae,베고니아과,Begonia × hiemalis Fotsch
엘러게니블랙베리,Rosaceae,장미과,Rubus allegheniensis Porter
엘러스벌레잡이제비꽃,Lentibulariaceae,통발과,Pinguicula ehlersiae Speta & F. Fuchs
엘레간스모감주나무,Sapindaceae,무환자나무과,Koelreuteria elegans (Seem.) A.C.Sm.
엘레간스필로덴드론,Araceae,천남성과,Philodendron elegans K.Krause
엘레간티시마말발도리 '로즈린드',Hydrangeaceae,수국과,Deutzia × elegantissima 'Rosealind'
엘롱가타까마귀쪽,Lauraceae,녹나무과,Litsea elongata (Nees) Hook. f.
엘롱가타목련,Magnoliaceae,목련과,Magnolia elongata (Rehder & E.H.Wilson) Millais
엘리옷그령,Poaceae,벼과,Eragrostis elliottii S.Watson
엘위스설강화,Amaryllidaceae,수선화과,Galanthus elwesii Hook. f.
엠보트리움 코키네움,Proteaceae,프로테아과,Embothrium coccineum J.R.Forst. & G.Forst.
엥겔만가문비나무,Pinaceae,소나무과,Picea engelmannii Engelm.
엥글러댕강나무,Caprifoliaceae,인동과,Abelia engleriana Rehder
여강가문비나무,Pinaceae,소나무과,Picea likiangensis (Franch.) E.Pritz.
여광전선인장,Cactaceae,선인장과,Krainzia guelzowiana (Werderm.) Backeb.
여뀌,Polygonaceae,마디풀과,Persicaria hydropiper (L.) Delarbre
여뀌바늘,Onagraceae,바늘꽃과,Ludwigia prostrata Roxb.
여뀌잎제비꽃,Violaceae,제비꽃과,Viola thibaudieri Franch. & Sav.
여로,Liliaceae,백합과,Veratrum maackii Regel var. japonicum (Baker) Shimizu
여름개밀,Poaceae,벼과,Elymus shandongensis B.Salomon
여름곰취,Asteraceae,국화과,Ligularia dentata (A.Gray) H.Hara
여름곰취 '데스데모나',Asteraceae,국화과,Ligularia dentata 'Desdemona'
여름곰취 '오셀로',Asteraceae,국화과,Ligularia dentata 'Othello'
여름꿩복수초,Ranunculaceae,미나리아재비과,Adonis aestivalis L.
여름벌레잡이제비꽃,Lentibulariaceae,통발과,Pinguicula cyclosecta Casper
여름새우난초,Orchidaceae,난초과,Calanthe reflexa Maxim.
여린벌레잡이제비꽃,Lentibulariaceae,통발과,Pinguicula gracilis Zamudio
여우구슬,Euphorbiaceae,대극과,Phyllanthus urinaria L.
여우꼬리사초,Cyperaceae,사초과,Carex blepharicarpa Franch.
여우꼬리용설란,Agavaceae,용설란과,Agave attenuata Salm-Dyck
여우꼬리풀,Liliaceae,백합과,Aletris glabra Bureau & Franch.
여우버들,Salicaceae,버드나무과,Salix xerophila Flod.
여우오줌,Asteraceae,국화과,Carpesium macrocephalum Franch. & Sav.
여우주머니,Euphorbiaceae,대극과,Phyllanthus ussuriensis Rupr. & Maxim.
여우콩,Fabaceae,콩과,Rhynchosia volubilis Lour.
여우팥,Fabaceae,콩과,Dunbaria villosa (Thunb.) Makino
여자옥선인장,Cactaceae,선인장과,Echinopsis formosa (Pfeiff.) Jacobi ex Salm-Dyck
여주,Cucurbitaceae,박과,Momordica charantia L.
연꽃,Nelumbonaceae,연꽃과,Nelumbo nucifera Gaertn.
연꽃 '모모 보탄',Nelumbonaceae,연꽃과,Nelumbo 'Momo Botan'
연꽃 '미세스 페리 디 슬로컴',Nelumbonaceae,연꽃과,Nelumbo 'Mrs Perry D. Slocum'
연꽃 '엠프레스',Nelumbonaceae,연꽃과,Nelumbo nucifera 'Empress'
연노랑괭이눈,Saxifragaceae,범의귀과,Chrysosplenium aureobracteatum Y.I.Kim & Y.D.Kim
연노랑상사화,Amaryllidaceae,수선화과,Lycoris caldwellii Traub
연노랑체꽃,Dipsacaceae,산토끼꽃과,Scabiosa ochroleuca L.
연노랑칠엽수 '에리트로블라스토스',Hippocastanaceae,칠엽수과,Aesculus × neglecta 'Erythroblastos'
연노랑현호색,Papaveraceae,양귀비과,Corydalis ochroleuca W.D.J. Koch
연등심붓꽃,Iridaceae,붓꽃과,Sisyrinchium micranthum Cav.
연리갈퀴,Fabaceae,콩과,Vicia venosa (Link) Maxim.
연리초,Fabaceae,콩과,Lathyrus quinquenervius (Miq.) Litv.
연미붓꽃,Iridaceae,붓꽃과,Iris tectorum Maxim.
연밥갈매나무,Rhamnaceae,갈매나무과,Rhamnus shozyoensis Nakai
연밥매자나무,Berberidaceae,매자나무과,Berberis koreana Palib. var. ellipsoides Nakai
연밥피나무,Tiliaceae,피나무과,Tilia koreana Nakai ex Nakai
연변족도리풀,Aristolochiaceae,쥐방울덩굴과,Asarum yeonbyeonense M.Kim & S.So
연변할미꽃,Ranunculaceae,미나리아재비과,Pulsatilla × yanbianensis H.Z.Lv
연보라과남풀,Gentianaceae,용담과,Gentiana triflora Pall. var. japonica (Kusn.) H.Hara f. alboviolacea W.K.Paik & W.T.Lee
연복초,Adoxaceae,연복초과,Adoxa moschatellina L.
연산선인장,Cactaceae,선인장과,Roseocactus lloydii A.Berger
연영초,Liliaceae,백합과,Trillium camschatcense Ker Gawl.
연잎꿩의다리,Ranunculaceae,미나리아재비과,Thalictrum ichangense Lecoy. ex Oliv. var. coreanum (H.Lév.) H.Lév. ex Tamura
연자주쥐손이,Geraniaceae,쥐손이풀과,Geranium purpureum Vill.
연지골무꽃,Lamiaceae,꿀풀과,Scutellaria indica L. var. coccinea S.T.Kim & S.T.Lee
연필향나무,Cupressaceae,측백나무과,Juniperus virginiana L.
연필향나무 '글라우카',Cupressaceae,측백나무과,Juniperus virginiana 'Glauca'
연필향나무 '미션 스파이어',Cupressaceae,측백나무과,Juniperus virginiana 'Mission Spire'
연필향나무 '부르키',Cupressaceae,측백나무과,Juniperus virginiana 'Burkii'
연필향나무 '스파클',Cupressaceae,측백나무과,Juniperus virginiana 'Sparkle'
연필향나무 '카나이르티',Cupressaceae,측백나무과,Juniperus virginiana 'Canaertii'
연필향나무 '헤치',Cupressaceae,측백나무과,Juniperus virginiana 'Hetzii'
연필향나무 '힐리',Cupressaceae,측백나무과,Juniperus virginiana 'Hillii'
연화돌꽃,Crassulaceae,돌나물과,Sedum pachyclados Aitch. ex Hemsl.
연화바위솔,Crassulaceae,돌나물과,Orostachys iwarenge (Makino) H.Hara
열녀목,Rosaceae,장미과,Prunus salicina var. columnaris (Uyeki) Uyeki
열대둥근마,Dioscoreaceae,마과,Dioscorea alata L.
열대방동사니,Cyperaceae,사초과,Cyperus eragrostis Lam.
열대피,Poaceae,벼과,Echinochloa colonum (L.) Link
엷은갈미사초,Cyperaceae,사초과,Carex eleusinoides Turcz. ex Kunth
엷은잎제비꽃,Violaceae,제비꽃과,Viola blandaeformis Nakai
엷은잎지네고사리,Dryopteridaceae,관중과,Dryopteris kinkiensis Koidz. ex Tagawa
염교,Liliaceae,백합과,Allium chinense G.Don
염낭사초,Cyperaceae,사초과,Carex mollissima Christ ex Scheutz
염색갈매나무,Rhamnaceae,갈매나무과,Rhamnus infectoria L.
염소풀,Poaceae,벼과,Aegilops cylindrica Host
염자,Crassulaceae,돌나물과,Crassula ovata (Mill.) Druce
염주,Poaceae,벼과,Coix lacryma-jobi L.
염주개나래새,Poaceae,벼과,Arrhenatherum elatius (L.) P.Beauv. ex J.Presl & C.Presl var. bulbosum (Willd.) Spenn.
염주괴불주머니,Papaveraceae,양귀비과,Corydalis heterocarpa Siebold & Zucc.
염주나무,Tiliaceae,피나무과,Tilia mandshurica Rupr. & Maxim. var. megaphylla (Nakai) Liou & A.J.Li
염주냉이,Brassicaceae,배추과,Braya humilis (C.A.Mey.) B.L.Rob.
염주사초,Cyperaceae,사초과,Carex ischnostachya Steud.
염주장구채,Caryophyllaceae,석죽과,Silene conoidea L.
엽란,Liliaceae,백합과,Aspidistra elatior Blume
엽란 '마쿨라타',Liliaceae,백합과,Aspidistra elatior 'Maculata'
엽란 '바리에가타',Liliaceae,백합과,Aspidistra elatior 'Variegata'
엽란 '아사히',Liliaceae,백합과,Aspidistra elatior 'Asahi'
엽란 '풍크타타',Liliaceae,백합과,Aspidistra elatior 'Punctata'
영국갯끈풀,Poaceae,벼과,Spartina anglica C.E.Hubb.
영국붓꽃,Iridaceae,붓꽃과,Iris latifolia (Mill.) Voss
영국양골담초 '올골드',Fabaceae,콩과,Cytisus × praecox 'Allgold'
영도산박하,Lamiaceae,꿀풀과,Isodon inflexus (Thunb.) Kudô var. microphyllus (Nakai) Kudô
영산홍 '마크란툼',Ericaceae,진달래과,Rhododendron indicum 'Macranthum'
영산홍 '발사미니플로룸',Ericaceae,진달래과,Rhododendron indicum 'Balsaminiflorum'
영산홍 '카호',Ericaceae,진달래과,Rhododendron indicum 'Kaho'
영삼지구엽초,Berberidaceae,매자나무과,Epimedium × youngianum Fisch. & C.A.Mey.
영삼지구엽초 '니베움',Berberidaceae,매자나무과,Epimedium × youngianum 'Niveum'
영삼지구엽초 '로세움',Berberidaceae,매자나무과,Epimedium × youngianum 'Roseum'
영삼지구엽초 '예노모토',Berberidaceae,매자나무과,Epimedium × youngianum 'Yenomoto'
영아리난초,Orchidaceae,난초과,Nervilia nipponica Makino
영아자,Campanulaceae,초롱꽃과,Asyneuma japonicum (Miq.) Briq.
영암풀,Rubiaceae,꼭두서니과,Exallage chrysotricha (Palib.) Neupane & N.Wikstr.
영주갈고리,Fabaceae,콩과,Hylodesmum laxum (DC.) H.Ohashi & R.R.Mill
영주무엽란,Orchidaceae,난초과,"Lecanorchis japonica Blume var. insularis S.-W.Seo, M.-S.Jung, Y.-S.Jung & S.-H.Oh"
영주제비란,Orchidaceae,난초과,Platanthera brevicalcarata Hayata
영주치자,Loganiaceae,마전과,Gardneria nutans Siebold & Zucc.
영주풀,Triuridaceae,영주풀과,Sciaphila nana Blume
영춘화,Oleaceae,물푸레나무과,Jasminum nudiflorum Lindl.
영춘환선인장,Cactaceae,선인장과,Mammillaria gigantea Hildm. ex K.Schum.
예덕나무,Euphorbiaceae,대극과,Mallotus japonicus (L.f.) Müll.Arg.
예루살렘세이지,Lamiaceae,꿀풀과,Phlomis fruticosa L.
예수옥선인장,Cactaceae,선인장과,Ferocactus gracilis H.E.Gates
오가나무,Araliaceae,두릅나무과,Eleutherococcus sieboldianus (Makino) Koidz.
오가나무 '바레가투스',Araliaceae,두릅나무과,Eleutherococcus sieboldianus 'Variegatus'
오갈피나무,Araliaceae,두릅나무과,Eleutherococcus sessiliflorus (Rupr. & Maxim.) S.Y.Hu
오공국화,Asteraceae,국화과,Chrysogonum virginianum L.
오공국화 '앨런 부시',Asteraceae,국화과,Chrysogonum virginianum 'Allen Bush'
오구나무,Euphorbiaceae,대극과,Sapium sebiferum (L.) Roxb.
오노스마 리기다,Boraginaceae,지치과,Onosma rigida Ledeb.
오노스마 폴리필룸,Boraginaceae,지치과,Onosma polyphyllum Ledeb.
오대산새밥,Juncaceae,골풀과,Luzula plumosa E.Mey.
오데코롱민트,Lamiaceae,꿀풀과,Mentha × piperita f. citrata (Ehrh.) Briq.
오도라투스산딸기,Rosaceae,장미과,Rubus odoratus L.
오동나무,Scrophulariaceae,현삼과,Paulownia coreana Uyeki
오랑캐장구채,Caryophyllaceae,석죽과,Silene repens Patrin
오레가노,Lamiaceae,꿀풀과,Origanum vulgare L.
오레곤개망초,Asteraceae,국화과,Erigeron karvinskianus DC.
오레곤바위채송화,Crassulaceae,돌나물과,Sedum oreganum Nutt.
오레스비우스회나무,Celastraceae,노박덩굴과,Euonymus oresbius W.W.Sm.
오렌지나리,Liliaceae,백합과,Lilium bulbiferum var. croceum (Chaix) Pers.
오렌지마가렛,Asteraceae,국화과,Anthemis sancti-johannis Stoj. & Stef. & Turrill
오론티움 아쿠아티쿰,Araceae,천남성과,Orontium aquaticum L.
오르나툼필로덴드론 ,Araceae,천남성과,Philodendron ornatum Schott
오르누스물푸레나무,Oleaceae,물푸레나무과,Fraxinus ornus L.
오르토시폰 아리스타투스,Lamiaceae,꿀풀과,Orthosiphon aristatus (Blume) Miq.
오름깃고사리,Pteridaceae,봉의꼬리과,Pteris fauriei Hieron.
오리갈매나무,Rhamnaceae,갈매나무과,Rhamnus frangula L.
오리나무,Betulaceae,자작나무과,Alnus japonica (Thunb.) Steud.
오리나무더부살이,Orobanchaceae,열당과,Boschniakia rossica (Cham. & Schltdl.) B.Fedtsch.
오리방풀,Lamiaceae,꿀풀과,Isodon excisus (Maxim.) Kudô
오리새,Poaceae,벼과,Dactylis glomerata L.
오리새 '바리에가타',Poaceae,벼과,Dactylis glomerata 'Variegata'
오리엔탈가문비나무,Pinaceae,소나무과,Picea orientalis (L.) Link
오리엔탈레수크령,Poaceae,벼과,Pennisetum orientale Pers.
오리엔탈리스아가판서스,Liliaceae,백합과,Agapanthus praecox subsp. orientalis (F.M.Leight.) F.M.Leight.
오리엔탈양귀비,Papaveraceae,양귀비과,Papaver orientale L.
오리엔탈양귀비 '딜럭스 믹스추어',Papaveraceae,양귀비과,Papaver orientale 'Deluxe Mixture'
오리엔탈양귀비 '로열 웨딩',Papaveraceae,양귀비과,Papaver orientale 'Royal Wedding'
오리엔탈양귀비 '만다린',Papaveraceae,양귀비과,Papaver orientale 'Mandarin'
오리엔탈양귀비 '맨해튼',Papaveraceae,양귀비과,Papaver orientale 'Manhatten'
오리엔탈양귀비 '베이비 키스',Papaveraceae,양귀비과,Papaver orientale 'Baby Kiss'
오리엔탈양귀비 '뷰티 오브 리버미어',Papaveraceae,양귀비과,Papaver orientale 'Beauty Of Livermere'
오리엔탈양귀비 '스태튼 아일랜드',Papaveraceae,양귀비과,Papaver orientale 'Staten Island'
